id,city,city_code,airport_name,country,timezone,,,
1,Anaa,AAA,Anaa,French Polynesia,Pacific/Tahiti,,,
2,Arrabury,AAB,Arrabury,Australia,Australia/Brisbane,,,
3,Al Arish,AAC,Al Arish,Egypt,Africa/Cairo,,,
4,Annaba,AAE,Les Salines,Algeria,Africa/Algiers,,,
5,Apalachicola,AAF,Municipal,United States,America/New_York,,,
6,Arapoti,AAG,Arapoti,Brazil,America/Sao_Paulo,,,
7,Aachen,AAH,Aachen/Merzbruck,Germany,Europe/Berlin,,,
8,Arraias,AAI,Arraias,Brazil,America/Araguaina,,,
9,Awaradam,AAJ,Cayana Airstrip,Suriname,America/Paramaribo,,,
10,Aranuka,AAK,Aranuka,Kiribati,Pacific/Tarawa,,,
11,Aalborg,AAL,Aalborg,Denmark,Europe/Copenhagen,,,
12,Mala Mala,AAM,Mala Mala,South Africa,Africa/Johannesburg,,,
13,Al Ain,AAN,Al Ain,United Arab Emirates,Asia/Dubai,,,
14,Anaco,AAO,Anaco,Venezuela,America/Caracas,,,
15,Houston,AAP,Andrau Airpark,United States,America/Chicago,,,
16,Anapa,AAQ,Anapa,Russian Federation,Europe/Moscow,,,
17,Aarhus,AAR,Tirstrup,Denmark,Europe/Copenhagen,,,
18,Apalapsili,AAS,Apalapsili,Indonesia,Asia/Jayapura,,,
19,Altay,AAT,Altay,China,Asia/Urumqi,,,
20,Asau,AAU,Asau,Samoa,Pacific/Apia,,,
21,Alah,AAV,Alah,Philippines,Asia/Manila,,,
22,Araxa,AAX,Araxa,Brazil,America/Sao_Paulo,,,
23,Al Ghaydah,AAY,Al Ghaydah,Yemen,Asia/Aden,,,
24,Abakan,ABA,Abakan,Russian Federation,Asia/Krasnoyarsk,,,
25,Abingdon,ABB,RAF Station,United Kingdom,Africa/Lagos,,,
26,Albacete,ABC,Los Llanos,Spain,Europe/Madrid,,,
27,Abadan,ABD,Abadan,Iran,Asia/Tehran,,,
28,Abaiang,ABF,Abaiang,Kiribati,Pacific/Tarawa,,,
29,Abingdon,ABG,Abingdon,Australia,Australia/Brisbane,,,
30,Alpha,ABH,Alpha,Australia,Australia/Brisbane,,,
31,Abilene,ABI,Municipal,United States,America/Chicago,,,
32,Abidjan,ABJ,Felix Houphouet Boigny,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
33,Kabri Dar,ABK,Kabri Dar,Ethiopia,Africa/Addis_Ababa,,,
34,Ambler,ABL,Ambler,United States,America/Anchorage,,,
35,Bamaga,ABM,Bamaga,Australia,Australia/Brisbane,,,
36,Albina,ABN,Albina,Suriname,America/Paramaribo,,,
37,Aboisso,ABO,Aboisso,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
38,Atkamba,ABP,Atkamba,Papua New Guinea,Pacific/Port_Moresby,,,
39,Albuquerque,ABQ,Albuquerque International,United States,America/Denver,,,
40,Aberdeen,ABR,Municipal,United States,America/Chicago,,,
41,Abu Simbel,ABS,Abu Simbel,Egypt,Africa/Cairo,,,
42,Al-Baha,ABT,Al-Aqiq,Saudi Arabia,Asia/Riyadh,,,
43,Atambua,ABU,Atambua,Indonesia,Asia/Makassar,,,
44,Abuja,ABV,International,Nigeria,Africa/Lagos,,,
45,Abau,ABW,Abau,Papua New Guinea,Pacific/Port_Moresby,,,
46,Albury,ABX,Albury,Australia,Australia/Sydney,,,
47,Albany,ABY,Dougherty County,United States,America/New_York,,,
48,Aberdeen,ABZ,Dyce,United Kingdom,Europe/London,,,
49,Bellaire,ACB,Antrim County,United States,America/Detroit,,,
50,Accra,ACC,Kotoka,Ghana,Africa/Accra,,,
51,Acandi,ACD,Acandi,Colombia,America/Bogota,,,
52,Lanzarote,ACE,Lanzarote,Spain,Atlantic/Canary,,,
53,Altenrhein,ACH,Altenrhein,Switzerland,Europe/Zurich,,,
54,Alderney,ACI,The Blaye,United Kingdom,Europe/Guernsey,,,
55,Anuradhapura,ACJ,Anuradhapura,Sri Lanka,Asia/Colombo,,,
56,Nantucket,ACK,Nantucket Memorial,United States,America/New_York,,,
57,Aguaclara,ACL,Aguaclara,Colombia,America/Bogota,,,
58,Arica,ACM,Arica,Colombia,America/Bogota,,,
59,Ciudad Acuna,ACN,International,Mexico,America/Matamoros,,,
60,Araracuara,ACR,Araracuara,Colombia,America/Bogota,,,
61,Achinsk,ACS,Achinsk,Russian Federation,Asia/Krasnoyarsk,,,
62,Achutupo,ACU,Achutupo,Panama,America/Panama,,,
63,Arcata,ACV,Arcata,United States,America/Los_Angeles,,,
64,Atlantic City,ACY,Atlantic City Intl,United States,America/New_York,,,
65,Adana,ADA,Adana,Turkey,Europe/Istanbul,,,
66,Izmir,ADB,Adnan Menderes Arpt,Turkey,Europe/Istanbul,,,
67,Andakombe,ADC,Andakombe,Papua New Guinea,Pacific/Port_Moresby,,,
68,Addis Ababa,ADD,Bole,Ethiopia,Africa/Addis_Ababa,,,
69,Aden,ADE,International,Yemen,Asia/Aden,,,
70,Adiyaman,ADF,Adiyaman,Turkey,Europe/Istanbul,,,
71,Adrian,ADG,Lenawee County,United States,America/Detroit,,,
72,Aldan,ADH,Aldan,Russian Federation,Asia/Yakutsk,,,
73,Arandis,ADI,Arandis,Namibia,Africa/Windhoek,,,
74,Amman,ADJ,Civil - Marka Airport,Jordan,Asia/Amman,,,
75,Adak Island,ADK,Adak Island NS,United States,America/Adak,,,
76,Adelaide,ADL,Adelaide,Australia,Australia/Adelaide,,,
